algorithm,observations,file_count,mean_roundtrip_peak_rss_kib,median_roundtrip_peak_rss_kib,min_roundtrip_peak_rss_kib,max_roundtrip_peak_rss_kib,mean_roundtrip_total_elapsed_seconds,median_roundtrip_total_elapsed_seconds,min_roundtrip_total_elapsed_seconds,max_roundtrip_total_elapsed_seconds
PDZ,1,1,49346884.0,49346884,49346884,49346884,122.94,122.94,122.94,122.94
VBZ,1,1,49344956.0,49344956,49344956,49344956,129.59,129.59,129.59,129.59
