File,chunk_id,num_samples,compressed_bytes,bits_per_sample,is_correct,compression_time,decompression_time,compression_speed_mb_sec,decompression_speed_mb_sec,StdDev_Compression_speed,StdDev_Decompression_speed
FAV70669_117da01a_45f6321d_0.csv,15.5,3125960.6875,2753084.5625,7.046501875,1.0,0.0062691525,0.0047131334375,951.3698125,1264.75125,19.59841125956881,13.10557250352541
KP04_MUG_merged.0_0.csv,7.0,6676199.866666666,5561497.0,6.664670666666667,1.0,0.012011452666666667,0.009080006,1060.3958,1402.1840000000002,20.278544263756775,12.999497133131184
KP13_MUG_merged.0_0.csv,7.5,6263930.9375,5223501.0625,6.6664787500000005,1.0,0.0109542425,0.00816328,1091.4,1464.435625,20.938019645292787,9.108884284953195
LM41_RKI_merged.0_0.csv,9.5,5002558.4,4256220.05,6.7998705,1.0,0.0093281559,0.00695800325,1023.63945,1371.5875,21.604060942514828,10.43151292201209
PAF26161_pass_20b9b35e_374.csv,5.5,8346253.833333333,7423890.916666667,7.116419166666667,1.0,0.015351908333333332,0.012042166666666666,1037.2175,1321.8741666666667,12.470473582171456,16.029224706671567
PAG51904_pass_2548f8f4_0.csv,7.5,6256076.625,5294987.6875,6.77293,1.0,0.011690255625,0.00888846375,1020.3063125,1343.1568750000001,23.62366040426068,15.589790556108609
PAO89685_pass__2264ba8c_afee3a87_0.csv,9.0,5291125.578947368,4605619.315789473,6.9443363157894735,1.0,0.009943485263157895,0.007589746315789473,995.9175789473685,1325.4747368421054,70.91759851194735,20.37260479947985
PAU59949_pass_ed4a9f02_3084670d_221.csv,5.5,8334180.333333333,7057571.583333333,6.773224166666666,1.0,0.014621569166666668,0.011512344166666667,1086.695,1380.4458333333332,15.975775127019348,14.797799257956854
SIRV_from_MNXKXX240359.csv,17.5,2777994.6666666665,2456558.5833333335,7.073347222222222,1.0,0.005192276111111112,0.0037659238888888887,1020.7464722222222,1406.6575,26.859959917517276,10.136744863543308
poregen_rna004_dataset.csv,12.5,3846710.4615384615,3550924.769230769,7.384464615384616,1.0,0.007209608846153847,0.00541688,1017.9627307692307,1354.933076923077,25.029580444837965,12.97939251867537
