File,chunk_id,num_samples,compressed_bytes,bits_per_sample,is_correct,compression_time,decompression_time,compression_speed_mb_sec,decompression_speed_mb_sec,StdDev_Compression_speed,StdDev_Decompression_speed
FAV70669_117da01a_45f6321d_0.csv,15.5,3125960.6875,2682017.15625,6.8646059375,1.0,0.0072157325,0.00583159375,826.1071875,1022.003875,14.120557254921504,11.967352976919896
KP04_MUG_merged.0_0.csv,7.0,6676199.866666666,5469690.4,6.554652666666667,1.0,0.013931913333333332,0.01174153,914.0216666666668,1084.6006666666667,8.643788187947184,18.14203346086755
KP13_MUG_merged.0_0.csv,7.5,6263930.9375,5137288.125,6.5568631250000005,1.0,0.01338636375,0.011076854375,892.4216250000001,1076.694375,10.459456887589013,12.288912058572711
LM41_RKI_merged.0_0.csv,9.5,5002558.4,4174625.2,6.6700800000000005,1.0,0.0106768484,0.00883661085,893.04625,1072.60345,8.8887483689094,35.01371244387878
PAF26161_pass_20b9b35e_374.csv,5.5,8346253.833333333,7212342.083333333,6.9136075,1.0,0.0173746,0.014495550000000001,916.2873333333333,1098.2825,5.687925893477943,4.968173479989711
PAG51904_pass_2548f8f4_0.csv,7.5,6256076.625,5203245.875,6.6559462499999995,1.0,0.01329839625,0.010997760625,897.1615,1084.7875,9.880330574766557,7.723478922523606
PAO89685_pass__2264ba8c_afee3a87_0.csv,9.0,5291125.578947368,4503037.578947368,6.795080526315789,1.0,0.01151546,0.009395312105263159,855.2011052631578,1065.8436842105264,73.8363226783063,28.15065821423607
PAU59949_pass_ed4a9f02_3084670d_221.csv,5.5,8334180.333333333,6918762.416666667,6.639929166666666,1.0,0.01721672583333333,0.014355491666666666,924.89725,1109.4183333333333,11.864360949920572,11.833262697185713
SIRV_from_MNXKXX240359.csv,17.5,2777994.6666666665,2435319.0,7.012380833333333,1.0,0.006452378611111111,0.005165660277777778,820.1406111111111,1025.653611111111,16.95414994503499,9.517293778854146
poregen_rna004_dataset.csv,12.5,3846710.4615384615,3490908.6923076925,7.2597661538461535,1.0,0.008393641153846153,0.007181141923076923,873.9267307692309,1021.7852692307692,9.31064818176561,11.342934447691011
