File,chunk_id,num_samples,compressed_bytes,bits_per_sample,is_correct,compression_time,decompression_time,compression_speed_mb_sec,decompression_speed_mb_sec,StdDev_Compression_speed,StdDev_Decompression_speed
LM41_RKI_merged.0_0.csv,9.5,5002558.4,4174625.2,6.6700800000000005,1.0,0.00824914435,0.00670789465,1154.633,1416.7955,15.739020935242419,29.39449473608064
PAG51904_pass_2548f8f4_0.csv,7.5,6256076.625,5203245.875,6.6559462499999995,1.0,0.010904600625,0.008608321875,1093.78,1385.788125,15.651789248091319,11.867191309797514
PAF26161_pass_20b9b35e_374.csv,5.5,8346253.833333333,7212342.083333333,6.9136075,1.0,0.013278258333333334,0.0111367075,1199.1558333333332,1429.9333333333334,14.258124611050427,16.91164974121971
PAO89685_pass__2264ba8c_afee3a87_0.csv,9.0,5291125.578947368,4503037.578947368,6.795080526315789,1.0,0.009051390526315789,0.007177755263157895,1086.6889473684212,1388.0310526315789,106.53972890088868,57.627184354332186
PAU59949_pass_ed4a9f02_3084670d_221.csv,5.5,8334180.333333333,6918762.416666667,6.639929166666666,1.0,0.013751597499999999,0.01092363925,1160.0133333333333,1457.7666666666667,33.93989241246495,12.981272758256122
SIRV_from_MNXKXX240359.csv,17.5,2777994.6666666665,2435319.0,7.012380833333333,1.0,0.005165451666666667,0.004030908888888889,1025.04225,1313.7527777777777,17.015849074780665,18.940936560206797
KP13_MUG_merged.0_0.csv,7.5,6263930.9375,5137288.125,6.5568631250000005,1.0,0.010149000625,0.00832320625,1173.355625,1435.48375,20.881543355716452,10.334510389950776
FAV70669_117da01a_45f6321d_0.csv,15.5,3125960.6875,2682017.15625,6.8646059375,1.0,0.0056489009375,0.004533368125,1055.053125,1314.655625,15.528562743766617,19.220748690983275
KP04_MUG_merged.0_0.csv,7.0,6676199.866666666,5469690.4,6.554652666666667,1.0,0.010814458,0.008873836,1177.284,1435.0726666666667,12.474606664282893,13.102746967534612
poregen_rna004_dataset.csv,12.5,3846710.4615384615,3490908.6923076925,7.2597661538461535,1.0,0.0069489230769230765,0.005619232307692308,1056.4730769230769,1305.5242307692306,29.01578036437839,16.867304508563763
