File,total_chunks,total_samples,total_compressed_bytes,bits_per_sample,successful_chunk_count,failed_chunk_count,success_rate,any_failed
PAO89685_pass__2264ba8c_afee3a87_102.csv,15940,1414766792,1193226216,6.747267310752655,15940,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_100.csv,17494,1586726397,1334160924,6.726608577370254,17494,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_103.csv,15024,1313636219,1107335281,6.7436342876901145,15024,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_101.csv,16944,1526286463,1284503669,6.732700316166009,16944,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_1.csv,11344,916155945,780632459,6.816590238903051,11344,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_104.csv,18170,1650923857,1388403152,6.727884613760233,18170,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_10.csv,13253,1109412490,940152286,6.779460620638948,13253,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_0.csv,9271,689203485,587954063,6.82473697009817,9271,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_105.csv,16742,1508298238,1270412282,6.738255074458292,16742,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_106.csv,16812,1511626804,1271982531,6.731727845175204,16812,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_107.csv,17801,1614118598,1356178602,6.721580947919913,17801,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_108.csv,17705,1605903133,1350314280,6.726753325289141,17705,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_109.csv,17852,1615012997,1356872011,6.721293332105612,17852,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_11.csv,12559,1043301439,886010102,6.793895370060924,12559,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_110.csv,16793,1513237863,1272371427,6.726616921823611,16793,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_111.csv,17467,1582330882,1329221103,6.720319337103097,17467,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_112.csv,17703,1605324564,1348167345,6.718478619131128,17703,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_113.csv,16975,1528387431,1284151023,6.721599494755332,16975,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_114.csv,18033,1638542039,1376289742,6.719582210243188,18033,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_115.csv,16324,1458743164,1222704806,6.705524789694919,16324,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_116.csv,17577,1594073542,1340151534,6.725669794725192,17577,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_117.csv,17615,1594745289,1340991134,6.727048605189515,17615,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_118.csv,14969,1313545663,1106518842,6.739126766086395,14969,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_119.csv,17111,1538300928,1296483699,6.742419121780573,17111,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_12.csv,11701,940636191,798559498,6.791654462293595,11701,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_120.csv,16498,1469900237,1238791036,6.742177488335217,16498,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_121.csv,15708,1389173052,1172389915,6.751584553484413,15708,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_122.csv,15979,1417536064,1195297393,6.745774860229588,15979,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_123.csv,16059,1424809928,1200714199,6.741750884262507,16059,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_124.csv,16011,1422323823,1198731898,6.742385263415502,16011,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_125.csv,15274,1343656941,1133087234,6.7462888743414755,15274,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_126.csv,16084,1426254742,1201820666,6.741127685589844,16084,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_13.csv,11393,909541697,771348826,6.784505458467178,11393,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_14.csv,13602,1151607984,975538956,6.776882199871931,13602,0,1.0,0
