File,chunk_id,num_samples,compressed_bytes,bits_per_sample,is_correct,compression_time,decompression_time,compression_speed_mb_sec,decompression_speed_mb_sec,StdDev_Compression_speed,StdDev_Decompression_speed
KP13_MUG_merged.0_0.csv,7.5,6263930.9375,5223501.0625,6.6664787500000005,1.0,0.037133949375,0.019235279375,328.6719375,621.5244375,38.04334883518844,11.865451259679663
LM41_RKI_merged.0_0.csv,9.5,5002558.4,4256220.05,6.7998705,1.0,0.03241925,0.0209934185,300.13625,456.61665000000005,41.214925350788306,53.293758410367644
SIRV_from_MNXKXX240359.csv,17.5,2777994.6666666665,2456558.5833333335,7.073347222222222,1.0,0.022544605555555555,0.011143311666666666,237.14686111111112,484.90799999999996,22.320199549994783,60.896308615312876
PAU59949_pass_ed4a9f02_3084670d_221.csv,5.5,8334180.333333333,7057571.583333333,6.773224166666666,1.0,0.05416951833333333,0.03066039333333333,297.77575,512.1745,20.805180115997338,40.96211010744621
PAF26161_pass_20b9b35e_374.csv,5.5,8346253.833333333,7423890.916666667,7.116419166666667,1.0,0.05727854166666666,0.032091433333333336,278.2839166666667,500.135,9.273647193264978,46.38119509221187
KP04_MUG_merged.0_0.csv,7.0,6676199.866666666,5561497.0,6.664670666666667,1.0,0.035823593333333334,0.025904846666666665,355.2573333333333,512.8728666666667,12.71201669774743,104.94468700964512
PAG51904_pass_2548f8f4_0.csv,7.5,6256076.625,5294987.6875,6.77293,1.0,0.0423720375,0.024283835,283.7985,490.3811875,15.664397743503152,30.894125394576765
poregen_rna004_dataset.csv,12.5,3846710.4615384615,3550924.769230769,7.384464615384616,1.0,0.02887859230769231,0.014809965384615384,255.3788076923077,501.23284615384614,20.354722255082198,54.60507006107935
FAV70669_117da01a_45f6321d_0.csv,15.5,3125960.6875,2753084.5625,7.046501875,1.0,0.019156215625,0.0124337965625,312.312125,502.2555,15.29930689711982,91.79405764342897
PAO89685_pass__2264ba8c_afee3a87_0.csv,9.0,5291125.578947368,4605619.315789473,6.9443363157894735,1.0,0.03666256842105263,0.02082921842105263,271.6906315789474,491.27331578947366,39.25907859649299,70.2123313710733
