File,total_chunks,total_samples,total_compressed_bytes,bits_per_sample,successful_chunk_count,failed_chunk_count,success_rate,any_failed
PAG51904_pass_2548f8f4_0.csv,6765,433347527,359824774,6.642701325488353,6765,0,1.0,0
PAG51904_pass_2548f8f4_1.csv,8046,570999659,479006048,6.711122018375846,8046,0,1.0,0
PAG51904_pass_2548f8f4_13.csv,26715,2510763985,2090920212,6.662259693039209,26715,0,1.0,0
PAG51904_pass_2548f8f4_14.csv,26217,2464700864,2052512034,6.662105130823697,26217,0,1.0,0
PAG51904_pass_2548f8f4_12.csv,27766,2621954905,2182610327,6.659490055569815,27766,0,1.0,0
PAG51904_pass_2548f8f4_15.csv,27476,2595064648,2158991943,6.655686037460135,27476,0,1.0,0
PAG51904_pass_2548f8f4_10.csv,26868,2528420110,2106832942,6.666085066061273,26868,0,1.0,0
PAG51904_pass_2548f8f4_11.csv,27937,2638903540,2197886440,6.6630292670720355,27937,0,1.0,0
PAG51904_pass_2548f8f4_16.csv,26271,2467868516,2053379935,6.656367376745609,26271,0,1.0,0
PAG51904_pass_2548f8f4_17.csv,29679,2820736797,2349410021,6.663252022659383,29679,0,1.0,0
PAG51904_pass_2548f8f4_18.csv,28655,2713408432,2260019131,6.663262645894218,28655,0,1.0,0
PAG51904_pass_2548f8f4_19.csv,25934,2435955845,2029257814,6.664350072404535,25934,0,1.0,0
PAG51904_pass_2548f8f4_2.csv,11588,943654265,788970080,6.688636796443664,11588,0,1.0,0
PAG51904_pass_2548f8f4_3.csv,28717,2717168251,2268570519,6.679219862561245,28717,0,1.0,0
PAG51904_pass_2548f8f4_4.csv,31504,3005647131,2507504332,6.674115018061314,31504,0,1.0,0
PAG51904_pass_2548f8f4_5.csv,32871,3148374319,2625239991,6.67071885361799,32871,0,1.0,0
PAG51904_pass_2548f8f4_6.csv,27782,2614144631,2180274230,6.672237501001527,27782,0,1.0,0
PAG51904_pass_2548f8f4_7.csv,28546,2701930311,2254004053,6.673759256702014,28546,0,1.0,0
PAG51904_pass_2548f8f4_8.csv,29183,2764562109,2304826037,6.669630693401072,29183,0,1.0,0
PAG51904_pass_2548f8f4_9.csv,27074,2549120824,2124308442,6.666795616746333,27074,0,1.0,0
