File,chunk_id,num_samples,compressed_bytes,bits_per_sample,is_correct,compression_time,decompression_time,compression_speed_mb_sec,decompression_speed_mb_sec,StdDev_Compression_speed,StdDev_Decompression_speed
FAV70669_117da01a_45f6321d_0.csv,15.5,3125960.6875,2682017.15625,6.8646059375,1.0,0.0054295121875,0.004093711875,1098.1759375,1456.1121875,23.1527053891047,22.156189659365502
PAG51904_pass_2548f8f4_0.csv,7.5,6256076.625,5203245.875,6.6559462499999995,1.0,0.009752473125,0.007559135,1222.5525,1579.309375,15.912078640663719,22.046162317207642
poregen_rna004_dataset.csv,12.5,3846710.4615384615,3490908.6923076925,7.2597661538461535,1.0,0.006254311923076923,0.004928532692307692,1172.913076923077,1488.5773076923078,15.616361617029932,21.31564224839441
PAF26161_pass_20b9b35e_374.csv,5.5,8346253.833333333,7212342.083333333,6.9136075,1.0,0.01235,0.009651378333333334,1289.2416666666666,1649.7691666666667,13.90611169321758,16.89600838193517
KP04_MUG_merged.0_0.csv,7.0,6676199.866666666,5469690.4,6.554652666666667,1.0,0.010068572,0.007737929333333334,1265.094,1645.32,23.461800807756777,13.0539266123263
LM41_RKI_merged.0_0.csv,9.5,5002558.4,4174625.2,6.6700800000000005,1.0,0.00764547985,0.00587508335,1246.125,1611.1635,22.06706369229944,63.851108243689616
PAO89685_pass__2264ba8c_afee3a87_0.csv,9.0,5291125.578947368,4503037.578947368,6.795080526315789,1.0,0.008406278421052632,0.006315241578947368,1165.2112105263157,1579.6331578947368,131.6221912768085,76.19666667050409
KP13_MUG_merged.0_0.csv,7.5,6263930.9375,5137288.125,6.5568631250000005,1.0,0.00971956625,0.00746120625,1226.924375,1604.50375,21.352728153173587,27.809676223693554
PAU59949_pass_ed4a9f02_3084670d_221.csv,5.5,8334180.333333333,6918762.416666667,6.639929166666666,1.0,0.012541116666666666,0.009499818166666667,1271.9733333333334,1663.8508333333332,28.279513411441133,44.73786162613035
SIRV_from_MNXKXX240359.csv,17.5,2777994.6666666665,2435319.0,7.012380833333333,1.0,0.004868821111111111,0.0035645783333333337,1086.9772222222223,1485.6052777777777,27.67651656560755,20.588042505453238
